"","AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","Genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified"
"24",135074,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=135074","Dendrophylliidae","Gray, 1847","accepted",NA,140,"Family",135074,"Dendrophylliidae","Gray, 1847",1363,"Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae",NA,"Hoeksema, B. W.; Cairns, S. (2022). World List of Scleractinia. Dendrophylliidae Gray, 1847. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=135074 on 2022-09-01","urn:lsid:marinespecies.org:taxname:135074",1,NA,0,0,0,"exact","2022-06-25T08:07:44.720Z"
"25",415066,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=415066","Aphelodoris","Bergh, 1879","accepted",NA,180,"Genus",415066,"Aphelodoris","Bergh, 1879",9904,"Animalia","Mollusca","Gastropoda","Nudibranchia","Dorididae","Aphelodoris","MolluscaBase eds. (2022). MolluscaBase. Aphelodoris Bergh, 1879. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=415066 on 2022-09-01","urn:lsid:marinespecies.org:taxname:415066",1,NA,NA,NA,NA,"exact","2020-01-26T23:51:41.700Z"
"26",267846,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=267846","Sphaerokodisis","Alderslade, 1998","accepted",NA,180,"Genus",267846,"Sphaerokodisis","Alderslade, 1998",1544107,"Animalia","Cnidaria","Anthozoa","Alcyonacea","Mopseidae","Sphaerokodisis","McFadden, C.; Cordeiro, R.; Williams, G.; van Ofwegen, L. (2022). World List of Octocorallia. Sphaerokodisis Alderslade, 1998. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=267846 on 2022-09-01","urn:lsid:marinespecies.org:taxname:267846",1,NA,0,0,NA,"exact","2021-09-30T03:03:27.073Z"
"27",137784,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=137784","Hypselodoris","W. Stimpson, 1855","accepted",NA,180,"Genus",137784,"Hypselodoris","W. Stimpson, 1855",549835,"Animalia","Mollusca","Gastropoda","Nudibranchia","Chromodorididae","Hypselodoris","MolluscaBase eds. (2022). MolluscaBase. Hypselodoris W. Stimpson, 1855. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137784 on 2022-09-01","urn:lsid:marinespecies.org:taxname:137784",1,0,0,0,0,"exact","2022-08-20T08:48:43.387Z"
"28",292753,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=292753","Plectaster","Sladen, 1889","accepted",NA,180,"Genus",292753,"Plectaster","Sladen, 1889",123132,"Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae","Plectaster","Mah, C.L. (2022). World Asteroidea Database. Plectaster Sladen, 1889. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=292753 on 2022-09-01","urn:lsid:marinespecies.org:taxname:292753",1,0,0,0,0,"exact","2008-01-24T09:19:09.153Z"
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",558470,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=558470","Doriprismatica","d'Orbigny, 1839","accepted",NA,180,"Genus",558470,"Doriprismatica","d'Orbigny, 1839",1370610,"Animalia","Mollusca","Gastropoda","Nudibranchia","Chromodorididae","Doriprismatica","MolluscaBase eds. (2022). MolluscaBase. Doriprismatica d'Orbigny, 1839. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=558470 on 2022-09-01","urn:lsid:marinespecies.org:taxname:558470",1,0,0,0,0,"exact","2019-08-25T12:38:01.520Z"
"32",558453,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=558453","Goniobranchus","Pease, 1866","accepted",NA,180,"Genus",558453,"Goniobranchus","Pease, 1866",1370610,"Animalia","Mollusca","Gastropoda","Nudibranchia","Chromodorididae","Goniobranchus","MolluscaBase eds. (2022). MolluscaBase. Goniobranchus Pease, 1866. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=558453 on 2022-09-01","urn:lsid:marinespecies.org:taxname:558453",1,0,0,0,0,"exact","2019-08-25T12:38:01.520Z"
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",159496,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=159496","Monacanthus","Oken, 1817","accepted",NA,180,"Genus",159496,"Monacanthus","Oken, 1817",125610,"Animalia","Chordata","Actinopteri","Tetraodontiformes","Monacanthidae","Monacanthus","Froese, R. and D. Pauly. Editors. (2022). FishBase. Monacanthus Oken, 1817. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159496 on 2022-09-01","urn:lsid:marinespecies.org:taxname:159496",1,0,0,0,NA,"exact","2014-11-21T13:09:37.943Z"
"35",144237,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=144237","Champia","Desvaux, 1809","accepted",NA,180,"Genus",144237,"Champia","Desvaux, 1809",143773,"Plantae","Rhodophyta","Florideophyceae","Rhodymeniales","Champiaceae","Champia","Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Champia Desvaux, 1809. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=144237 on 2022-09-01","urn:lsid:marinespecies.org:taxname:144237",1,NA,NA,NA,NA,"exact","2004-12-21T15:54:05Z"
